Nom item;niveau;taux brisage initial;taux brisage après brisage;nombre d'items brisé en même temps
Le Ours;35; 46 ; 46 ; 1
Le Ours;35; 46 ; 46 ; 1
Le Ours;35; 46 ; 45 ; 1
Le Ours;35; 45 ; 45 ; 1
Le Ours;35; 45 ; 45 ; 1
Le Ours;35; 45 ; 45 ; 1
Le Ours;35; 45 ; 45 ; 2
Le Ours;35; 45 ; 45 ; 1
Le Ours;35; 45 ; 45 ; 1
Le Ours;35; 45 ; 45 ; 1
Le Ours;35; 45 ; 45 ; 1
Le Ours;35; 45 ; 44 ; 1
Le Ours;35; 44 ; 44 ; 1
Le Ours;35; 44 ; 44 ; 1
Le Ours;35; 44 ; 44 ; 1
Le Ours;35; 44 ; 44 ; 1
Le Ours;35; 44 ; 44 ; 1
Le Ours;35; 44 ; 44 ; 1
Le Ours;35; 44 ; 44 ; 1
Le Ours;35; 44 ; 44 ; 1
Le Ours;35; 44 ; 44 ; 1
Le Ours;35; 44 ; 44 ; 2
Le Ours;35; 44 ; 44 ; 1
Le Ours;35; 44 ; 43 ; 1
Le Ours;35; 43 ; 43 ; 1
Le Ours;35; 43 ; 43 ; 1
Le Ours;35; 43 ; 43 ; 2
Le Ours;35; 43 ; 43 ; 1
Le Ours;35; 43 ; 43 ; 1
Le Ours;35; 43 ; 43 ; 1
Le Ours;35; 43 ; 43 ; 1
Le Ours;35; 43 ; 43 ; 1
Le Ours;35; 43 ; 43 ; 1
Le Ours;35; 43 ; 43 ; 1
Le Ours;35; 43 ; 43 ; 1
Le Ours;35; 43 ; 42 ; 1
Le Ours;35; 42 ; 42 ; 1
Le Ours;35; 42 ; 42 ; 1
Le Ours;35; 42 ; 42 ; 1
Le Ours;35; 42 ; 42 ; 1
Le Ours;35; 42 ; 42 ; 1
Le Ours;35; 42 ; 42 ; 1
Le Ours;35; 42 ; 42 ; 1
Le Ours;35; 42 ; 42 ; 1
Le Ours;35; 42 ; 42 ; 1
Le Ours;35; 42 ; 42 ; 1
Le Ours;35; 42 ; 42 ; 2
Le Ours;35; 42 ; 41 ; 2
Le Ours;35; 41 ; 41 ; 1
Le Ours;35; 41 ; 41 ; 1
Le Ours;35; 41 ; 41 ; 1
Le Ours;35; 41 ; 41 ; 1
Le Ours;35; 41 ; 41 ; 1
Le Ours;35; 41 ; 41 ; 1
Le Ours;35; 41 ; 41 ; 1
Le Ours;35; 41 ; 41 ; 1
Le Ours;35; 41 ; 41 ; 1
Le Ours;35; 41 ; 41 ; 1
Le Ours;35; 41 ; 41 ; 1
Le Ours;35; 41 ; 41 ; 2
Le Ours;35; 41 ; 41 ; 1

Chapeau de Barbroussa;74; 80 ; 79 ; 1
Chapeau de Barbroussa;74; 79 ; 78 ; 1
Chapeau de Barbroussa;74; 78 ; 78 ; 1
Chapeau de Barbroussa;74; 78 ; 78 ; 1
Chapeau de Barbroussa;74; 78 ; 77 ; 1
Chapeau de Barbroussa;74; 77 ; 77 ; 1
Chapeau de Barbroussa;74; 77 ; 76 ; 1
Chapeau de Barbroussa;74; 76 ; 76 ; 1
Chapeau de Barbroussa;74; 76 ; 75 ; 1
Chapeau de Barbroussa;74; 75 ; 75 ; 1
Chapeau de Barbroussa;74; 75 ; 75 ; 1
Chapeau de Barbroussa;74; 75 ; 74 ; 1
Chapeau de Barbroussa;74; 74 ; 74 ; 1
